number,solution,myTime,bp1time,bp2time,bp3time
5605841951612,5605841951621,0.0115,0.0044,0.0154,0.0133
5619815463621,5619815466123,0.0063,0.0027,3.3295,3.1949
5735224169616,5735224169661,0.0097,0.0042,0.0586,0.0944
6019836911032,6019836911203,0.0051,0.0024,0.2134,0.2202
6091208119019,6091208119091,0.0032,0.0018,0.0867,0.1057
6595110399983,6595110833999,0.0082,0.003,549.9267,590.4129
6770605382589,6770605382598,0.0037,0.0022,0.0157,0.0135
6875116591891,6875116591918,0.0113,0.0088,0.0363,0.0363
6894063295511,6894063511259,0.0077,0.0031,275.861,290.9043
6897491463106,6897491463160,0.0065,0.0031,0.09,0.1149
6941959078119,6941959078191,0.0209,0.0024,0.1215,0.0907
7148682095058,7148682095085,0.0033,0.0019,0.087,0.0359
7480856615880,7480856618058,0.0294,0.0066,3.5366,2.6782
7496477671427,7496477671472,0.0038,0.002,0.0589,0.0597
7567336317489,7567336317498,0.0033,0.0017,0.014,0.0129
7577256178667,7577256178676,0.0035,0.0021,0.2817,0.0147
7594213653585,7594213653855,0.0131,0.0054,0.4404,0.4642
7595377654133,7595377654313,0.0058,0.0026,0.2308,0.247
7637186053644,7637186054346,0.006,0.0032,0.8851,0.9759
7677724278284,7677724278428,0.0062,0.0025,0.1777,0.1846
7739002750000,7739005000027,0.0145,0.0049,2834.0048,3030.9975
7902229640498,7902229640849,0.0048,0.0025,0.4117,0.4306
8084964151548,8084964151584,0.011,0.0044,0.0472,0.049
8160144602266,8160144602626,0.0054,0.0029,0.6501,0.483
8276487103146,8276487103164,0.004,0.0022,0.0253,0.0244
8445881901429,8445881901492,0.0051,0.0025,0.0787,0.0827
8683329228590,8683329228905,0.0048,0.0028,0.3858,0.3964
8821756744105,8821756744150,0.0127,0.0048,0.0568,0.0595
8875926995927,8875926995972,0.0035,0.0022,0.063,0.0605
9027844198826,9027844198862,0.0048,0.0024,0.0499,0.043
9055866176675,9055866176756,0.0051,0.0025,0.1049,0.1016
9116060027004,9116060027040,0.0046,0.0022,0.0467,0.043
9247799126329,9247799126392,0.0037,0.002,0.083,0.0791
9361141458294,9361141458429,0.006,0.0022,0.1649,0.175
9514249769567,9514249769576,0.003,0.0019,0.0155,0.0125
9695037804464,9695037804644,0.0044,0.0022,0.232,0.2374
9816320848018,9816320848081,0.0085,0.0037,0.0752,0.095
9852769294162,9852769294216,0.0084,0.0039,0.0727,0.0717
9938072394794,9938072394947,0.0044,0.0022,0.1868,0.3053
9939907499610,9939907601499,0.0152,0.0051,127.6827,139.3995
10969939915003,10969939915030,0.01,0.0041,0.0447,0.0492
14759265113739,14759265113793,0.0142,0.0053,0.0756,0.074
15580501350688,15580501350868,0.005,0.0024,0.2296,0.2291
19759781092056,19759781092065,0.0443,0.0058,0.0348,0.0139
20267174667301,20267174667310,0.0036,0.002,0.015,0.0134
22355772252300,22355772253002,0.0114,0.0049,1.0326,0.9751
22962710768512,22962710768521,0.0031,0.0019,0.015,0.0134
23895526273559,23895526273595,0.0044,0.0024,0.0667,0.0428
24669437499667,24669437499676,0.0047,0.0022,0.0167,0.013
27935712459748,27935712459784,0.0038,0.0018,0.0491,0.0428
28410389429456,28410389429465,0.0182,0.0062,0.0184,0.0146
29095893196964,29095893199466,0.0072,0.0033,3.131,3.9032
29199357363542,29199357364235,0.0074,0.0036,0.9832,1.1877
29491827779197,29491827779719,0.0048,0.0025,0.6727,0.6975
33070716959494,33070716959944,0.0056,0.0025,0.6156,0.6039
34362453796560,34362453796605,0.0053,0.0024,0.0666,0.0548
35589804514621,35589804516124,0.0064,0.0029,2.4401,1.9375
36773384921882,36773384922188,0.0069,0.0032,0.399,0.4071
38814152813701,38814152813710,0.0047,0.0026,0.0153,0.0133
39320512010074,39320512010407,0.0051,0.0026,0.4288,0.4478
39620830579052,39620830579205,0.0056,0.0027,0.2792,0.3269
40131259955403,40131259955430,0.0105,0.0052,0.0457,0.0402
40440996685198,40440996685819,0.0043,0.0023,0.8132,0.7979
41082985853024,41082985853042,0.0048,0.0043,0.0263,0.0232
41594736019891,41594736019918,0.0206,0.0074,0.0442,0.0366
41622177846654,41622177854466,0.0322,0.0064,11.3375,10.9409
43992984135661,43992984136156,0.1083,0.0515,1.1433,1.0926
44316448391272,44316448391722,0.0198,0.0071,0.6272,0.8929
45053715109266,45053715109626,0.0042,0.0022,0.4838,0.4842
45689898934379,45689898934397,0.0035,0.0208,0.0243,0.0365
