number,solution,myTime,bp1time,bp2time,bp3time
382,823,0.0151,0.0072,0.1449,0.1786
383,833,0.0144,0.007,0.3814,0.1829
384,438,0.0359,0.0178,0.0874,0.0694
385,538,0.0107,0.0057,0.0933,0.068
386,638,0.015,0.0106,0.1242,0.279
387,738,0.0099,0.0047,0.1124,0.1378
388,838,0.015,0.006,0.1471,0.2278
389,398,0.0087,0.0047,0.0102,0.0085
390,903,0.0114,0.0053,0.1596,0.2004
391,913,0.0563,0.0174,0.2189,0.2419
392,923,0.016,0.0066,0.2122,0.2457
393,933,0.0823,0.0087,0.4999,0.2511
394,439,0.0153,0.0066,0.0193,0.021
395,539,0.0145,0.0066,0.0977,0.0868
396,639,0.0104,0.005,0.0736,0.0902
397,739,0.0439,0.0096,0.1234,0.1626
398,839,0.0129,0.0055,0.1327,0.1858
399,939,0.014,0.0065,0.1761,0.2204
400,-1,0.0104,0.0023,0.0038,0.0025
401,410,0.0109,0.0051,0.0066,0.0067
402,420,0.0091,0.0045,0.0103,0.0096
403,430,0.014,0.0062,0.0631,0.0316
404,440,0.0171,0.0067,0.0153,0.0185
405,450,0.0303,0.0054,0.0528,0.0205
406,460,0.034,0.0144,0.0406,0.0285
407,470,0.0187,0.0076,0.027,0.0375
408,480,0.0118,0.0055,0.0269,0.1192
409,490,0.0137,0.0065,0.0315,0.0366
410,-1,0.0068,0.0019,0.0028,0.0018
411,-1,0.0112,0.0027,0.0044,0.0026
412,421,0.0113,0.0055,0.0063,0.0068
413,431,0.0089,0.0047,0.0153,0.0145
414,441,0.0119,0.0055,0.0138,0.0164
415,451,0.0081,0.0041,0.014,0.016
416,461,0.0163,0.0069,0.0184,0.0209
417,471,0.021,0.0192,0.0241,0.0666
418,481,0.0135,0.006,0.0257,0.029
419,491,0.028,0.0069,0.3728,0.0326
420,-1,0.0095,0.0026,0.004,0.0029
421,-1,0.0098,0.0023,0.0039,0.0025
422,-1,0.0117,0.0025,0.0042,0.0029
423,432,0.0101,0.0048,0.0068,0.0076
424,442,0.017,0.0069,0.0366,0.1034
425,452,0.0155,0.0064,0.0136,0.0144
426,462,0.0079,0.0044,0.0137,0.0162
427,472,0.0137,0.0058,0.0182,0.0405
428,482,0.0111,0.0049,0.0194,0.0249
429,492,0.0309,0.0142,0.0519,0.0565
430,-1,0.0108,0.0024,0.0041,0.0026
431,-1,0.0093,0.0027,0.4997,0.0041
432,-1,0.0092,0.0026,0.0037,0.0025
433,-1,0.0109,0.0031,0.0043,0.0033
434,443,0.0166,0.0073,0.008,0.0078
435,453,0.0188,0.0074,0.0109,0.0117
436,463,0.012,0.0063,0.014,0.0147
437,473,0.0069,0.0038,0.0136,0.0158
438,483,0.0119,0.0048,0.0171,0.0213
439,493,0.0356,0.0093,0.0227,0.0274
440,-1,0.0064,0.0017,0.0026,0.0018
441,-1,0.0198,0.0036,0.0083,0.0051
442,-1,0.0093,0.0021,0.0035,0.0022
443,-1,0.0131,0.0026,0.0042,0.0025
444,-1,0.0287,0.0054,0.0118,0.0037
445,454,0.0103,0.0049,0.006,0.0062
446,464,0.0092,0.0047,0.0086,0.0094
447,474,0.0126,0.0059,0.0121,0.0145
448,484,0.0137,0.0064,0.0215,0.0168
449,494,0.0104,0.0056,0.0175,0.0214
450,504,0.0124,0.006,0.035,0.0323
451,514,0.0178,0.0083,0.0274,0.0339
452,524,0.0133,0.0077,0.0818,0.0731
453,534,0.0134,0.0061,0.0288,0.1265
454,544,0.0137,0.0063,0.0323,0.0378
455,545,0.0178,0.0074,0.0323,0.0396
456,465,0.01,0.0049,0.0059,0.006
457,475,0.0162,0.0121,0.0132,0.0118
458,485,0.0415,0.0077,0.0127,0.013
459,495,0.0142,0.0064,0.0246,0.0174
460,604,0.0157,0.0075,0.0587,0.0658
461,614,0.0123,0.0057,0.0505,0.0662
462,624,0.0371,0.0138,0.1268,0.0636
463,634,0.013,0.0059,0.0563,0.07
464,644,0.0148,0.0066,0.1029,0.0768
465,546,0.0239,0.0091,0.0354,0.0405
466,646,0.0163,0.0076,0.0696,0.0812
467,476,0.0142,0.0058,0.0064,0.0066
468,486,0.015,0.007,0.0231,0.0211
469,496,0.0125,0.0064,0.0129,0.016
470,704,0.0151,0.007,0.1,0.1435
471,714,0.0314,0.0093,0.0812,0.1242
472,724,0.013,0.0058,0.4869,0.0955
473,734,0.039,0.0146,0.1857,0.1913
474,744,0.0376,0.0186,0.2198,0.329
475,547,0.017,0.024,0.0282,0.045
476,647,0.0149,0.0062,0.0568,0.0719
477,747,0.0141,0.0062,0.0919,0.1137
478,487,0.046,0.0076,0.0084,0.0071
479,497,0.02,0.0065,0.0089,0.0097
480,804,0.0141,0.0059,0.0978,0.1251
481,814,0.0246,0.0249,0.1246,0.1541
482,824,0.018,0.0073,0.4046,0.1634
483,834,0.03,0.012,0.2317,0.2513
484,844,0.0115,0.0065,0.1144,0.1428
485,548,0.0149,0.0065,0.0666,0.0527
486,648,0.0144,0.0063,0.0946,0.1755
487,748,0.011,0.005,0.0835,0.1473
488,848,0.0122,0.0058,0.3755,0.3306
489,498,0.0128,0.0053,0.0083,0.0071
490,904,0.0159,0.0068,0.1534,0.1865
491,914,0.0163,0.0075,0.1707,0.2413
